written by TR 
1.000000000 
95.721004900 0.000000000 0.000000000 
47.860502450 82.896821919 0.000000000 
0.000000000 0.000000000 15.000000000 
Type1 
6076
Cartesian 
0.73765100 1.21067000 2.93684000 
-0.00000130 0.00000045 2.93437000 
2.94595000 4.84537000 2.96423000 
2.21147000 3.63288000 2.95347000 
2.89147000 2.38881000 2.94981000 
2.15491000 1.17746000 2.94151000 
5.14493000 8.48579000 2.98852000 
4.41410000 7.27117000 2.98258000 
5.09555000 6.02760000 2.97937000 
4.36306000 4.81383000 2.97028000 
5.04338000 3.56985000 2.96808000 
4.30864000 2.35730000 2.95845000 
4.98855000 1.11331000 2.96001000 
6.56203000 8.45573000 2.99107000 
7.24393000 7.21235000 2.99012000 
6.51261000 5.99782000 2.98444000 
7.19360000 4.75413000 2.98354000 
6.46047000 3.54050000 2.97615000 
7.14094000 2.29679000 2.97707000 
6.40575000 1.08429000 2.97026000 
9.39219000 8.39829000 2.99627000 
8.66105000 7.18367000 2.99312000 
9.34305000 5.94050000 2.99301000 
8.61071000 4.72639000 2.98858000 
9.29210000 3.48313000 2.98897000 
8.55811000 2.26983000 2.98425000 
9.23947000 1.02679000 2.98620000 
0.00000230 0.00000621 6.46563000 
2.77771000 2.52083000 6.45020000 
2.09697000 1.27738000 6.45848000 
2.83460000 0.06665940 6.45628000 
4.82568000 6.24672000 6.42076000 
4.14082000 5.00566000 6.42968000 
4.87777000 3.79465000 6.43200000 
4.19514000 2.55239000 6.44151000 
4.93260000 1.34151000 6.44002000 
4.25188000 0.09813050 6.44653000 
6.19427000 8.72900000 6.40924000 
6.92955000 7.51709000 6.41056000 
6.24341000 6.27679000 6.41559000 
6.97972000 5.06535000 6.41673000 
6.29535000 3.82413000 6.42372000 
7.03234000 2.61290000 6.42299000 
6.34999000 1.37055000 6.42967000 
7.08664000 0.15896500 6.42568000 
9.03380000 8.78633000 6.40567000 
8.34733000 7.54617000 6.40739000 
9.08270000 6.33409000 6.40763000 
8.39739000 5.09336000 6.41116000 
9.13352000 3.88155000 6.41097000 
8.44983000 2.63997000 6.41541000 
9.18614000 1.42808000 6.41371000 
8.50395000 0.18564400 6.41743000 
10.80940000 8.36988000 2.99814000 
11.49260000 7.12735000 2.99830000 
10.76030000 5.91333000 2.99531000 
11.44280000 4.67066000 2.99518000 
10.70930000 3.45713000 2.99233000 
11.39150000 2.21445000 2.99279000 
10.65670000 1.00148000 2.99065000 
13.64250000 8.31394000 3.00350000 
12.91000000 7.10009000 2.99971000 
13.59370000 5.85805000 2.99910000 
12.86010000 4.64466000 2.99621000 
13.54320000 3.40244000 2.99566000 
12.80870000 2.18940000 2.99411000 
13.49140000 0.94708600 2.99439000 
15.05990000 8.28684000 3.00605000 
15.74460000 7.04531000 3.00526000 
15.01110000 5.83191000 3.00027000 
15.69510000 4.59016000 2.99906000 
14.96060000 3.37721000 2.99601000 
15.64380000 2.13516000 2.99551000 
14.90870000 0.92237400 2.99475000 
17.89450000 8.23389000 3.01638000 
17.16200000 7.01989000 3.00857000 
17.84660000 5.77850000 3.00726000 
17.11250000 4.56531000 3.00096000 
17.79620000 3.32357000 2.99996000 
17.06110000 2.11077000 2.99655000 
17.74410000 0.86864200 2.99710000 
10.45150000 8.81526000 6.40337000 
11.18580000 7.60246000 6.40288000 
10.50030000 6.36168000 6.40430000 
11.23530000 5.14915000 6.40428000 
10.55100000 3.90781000 6.40659000 
11.28660000 2.69544000 6.40643000 
10.60350000 1.45348000 6.40883000 
11.33900000 0.24096500 6.40778000 
13.28880000 8.87119000 6.39820000 
12.60330000 7.63026000 6.39975000 
13.33720000 6.41701000 6.39964000 
12.65280000 5.17555000 6.40143000 
13.38740000 3.96259000 6.40205000 
12.70400000 2.72070000 6.40392000 
13.43910000 1.50792000 6.40453000 
12.75630000 0.26572300 6.40584000 
14.70620000 8.89891000 6.39328000 
15.43920000 7.68509000 6.39319000 
14.75460000 6.44364000 6.39614000 
15.48830000 5.23011000 6.39710000 
14.80480000 3.98814000 6.39983000 
15.53930000 2.77498000 6.40134000 
14.85640000 1.53275000 6.40344000 
15.59150000 0.31987700 6.40440000 
17.54220000 8.95192000 6.38304000 
16.85660000 7.71107000 6.38782000 
17.58960000 6.49711000 6.38913000 
16.90560000 5.25538000 6.39350000 
17.63960000 4.04183000 6.39546000 
16.95660000 2.79960000 6.39925000 
17.69140000 1.58649000 6.40082000 
17.00880000 0.34416400 6.40327000 
18.95970000 8.97595000 6.37627000 
19.00700000 6.52087000 6.38390000 
19.05690000 4.06522000 6.39154000 
19.10870000 1.60958000 6.39777000 
19.31190000 8.21043000 3.02227000 
19.99690000 6.96923000 3.02168000 
19.26400000 5.75519000 3.01214000 
19.94810000 4.51370000 3.01099000 
19.21360000 3.30048000 3.00365000 
19.89680000 2.05857000 3.00369000 
19.16140000 0.84567200 3.00004000 
22.14510000 8.16408000 3.04015000 
21.41420000 6.94854000 3.02912000 
22.09870000 5.70726000 3.02837000 
21.36540000 4.49301000 3.01772000 
22.04900000 3.25137000 3.01710000 
21.31410000 2.03794000 3.00941000 
21.99690000 0.79596100 3.01075000 
23.56220000 8.14655000 3.04855000 
24.24710000 6.90546000 3.04883000 
23.51590000 5.68968000 3.03688000 
24.19980000 4.44834000 3.03579000 
23.46620000 3.23385000 3.02500000 
24.14930000 1.99220000 3.02478000 
23.41410000 0.77846800 3.01765000 
26.39300000 8.10865000 3.06856000 
25.66410000 6.89112000 3.05731000 
26.34880000 5.65012000 3.05622000 
25.61700000 4.43417000 3.04421000 
26.30060000 3.19293000 3.04240000 
25.56650000 1.97821000 3.03250000 
26.24970000 0.73684400 3.03217000 
27.80990000 8.09724000 3.07579000 
