written by TR 
1.000000000 
121.242847000 0.000000000 0.000000000 
0.000000000 209.998772000 0.000000000 
0.000000000 0.000000000 15.000000000 
Type1 
19496
Cartesian 
0.79600000 8.58800000 3.00000000 
0.07500000 7.36800000 3.00000000 
0.77100000 6.13300000 3.00000000 
0.05000000 4.91200000 3.00000000 
0.74600000 3.67700000 3.00000000 
0.02500000 2.45600000 3.00000000 
0.72100000 1.22100000 3.00000000 
0.00000000 0.00000000 3.00000000 
2.21400000 8.57400000 3.00000000 
2.91000000 7.33900000 3.00000000 
2.18900000 6.11800000 3.00000000 
2.88600000 4.88300000 3.00000000 
2.16400000 3.66200000 3.00000000 
2.86100000 2.42700000 3.00000000 
2.13900000 1.20600000 3.00000000 
5.05000000 8.54500000 3.00000000 
4.32800000 7.32500000 3.00000000 
5.02500000 6.08900000 3.00000000 
4.30300000 4.86900000 3.00000000 
5.00000000 3.63400000 3.00000000 
4.27900000 2.41300000 3.00000000 
4.97500000 1.17800000 3.00000000 
6.46800000 8.53100000 3.00000000 
7.16400000 7.29600000 3.00000000 
6.44300000 6.07500000 3.00000000 
7.13900000 4.84000000 3.00000000 
6.41800000 3.61900000 3.00000000 
7.11400000 2.38400000 3.00000000 
6.39300000 1.16300000 3.00000000 
9.30300000 8.50200000 3.00000000 
8.58200000 7.28100000 3.00000000 
9.27900000 6.04600000 3.00000000 
8.55700000 4.82600000 3.00000000 
9.25400000 3.59000000 3.00000000 
8.53200000 2.37000000 3.00000000 
9.22900000 1.13500000 3.00000000 
0.62200000 8.60300000 6.40000000 
0.64700000 6.14700000 6.40000000 
0.67200000 3.69100000 6.40000000 
0.69700000 1.23500000 6.40000000 
0.00000000 0.00000000 6.40000000 
2.04000000 8.61700000 6.40000000 
2.76100000 7.39600000 6.40000000 
2.06500000 6.16100000 6.40000000 
2.78600000 4.94000000 6.40000000 
2.09000000 3.70500000 6.40000000 
2.81100000 2.48500000 6.40000000 
2.11400000 1.24900000 6.40000000 
2.83600000 0.02900000 6.40000000 
4.87600000 8.64600000 6.40000000 
4.17900000 7.41100000 6.40000000 
4.90000000 6.19000000 6.40000000 
4.20400000 4.95500000 6.40000000 
4.92500000 3.73400000 6.40000000 
4.22900000 2.49900000 6.40000000 
4.95000000 1.27800000 6.40000000 
4.25400000 0.04300000 6.40000000 
6.29300000 8.66000000 6.40000000 
7.01500000 7.43900000 6.40000000 
6.31800000 6.20400000 6.40000000 
7.04000000 4.98400000 6.40000000 
6.34300000 3.74800000 6.40000000 
7.06500000 2.52800000 6.40000000 
6.36800000 1.29300000 6.40000000 
7.08900000 0.07200000 6.40000000 
9.12900000 8.68900000 6.40000000 
8.43300000 7.45400000 6.40000000 
9.15400000 6.23300000 6.40000000 
8.45800000 4.99800000 6.40000000 
9.17900000 3.77700000 6.40000000 
8.48300000 2.54200000 6.40000000 
9.20400000 1.32100000 6.40000000 
8.50700000 0.08600000 6.40000000 
10.72100000 8.48800000 3.00000000 
11.41800000 7.25300000 3.00000000 
10.69600000 6.03200000 3.00000000 
11.39300000 4.79700000 3.00000000 
10.67200000 3.57600000 3.00000000 
11.36800000 2.34100000 3.00000000 
10.64700000 1.12000000 3.00000000 
13.55700000 8.45900000 3.00000000 
12.83600000 7.23800000 3.00000000 
13.53200000 6.00300000 3.00000000 
12.81100000 4.78200000 3.00000000 
13.50700000 3.54700000 3.00000000 
12.78600000 2.32700000 3.00000000 
13.48200000 1.09100000 3.00000000 
14.97500000 8.44500000 3.00000000 
15.67200000 7.21000000 3.00000000 
14.95000000 5.98900000 3.00000000 
15.64700000 4.75400000 3.00000000 
14.92500000 3.53300000 3.00000000 
15.62200000 2.29800000 3.00000000 
14.90000000 1.07700000 3.00000000 
17.81100000 8.41600000 3.00000000 
17.08900000 7.19500000 3.00000000 
17.78600000 5.96000000 3.00000000 
17.06500000 4.73900000 3.00000000 
17.76100000 3.50400000 3.00000000 
17.04000000 2.28400000 3.00000000 
17.73600000 1.04800000 3.00000000 
10.54700000 8.70300000 6.40000000 
11.26900000 7.48300000 6.40000000 
10.57200000 6.24700000 6.40000000 
11.29300000 5.02700000 6.40000000 
10.59700000 3.79200000 6.40000000 
11.31800000 2.57100000 6.40000000 
10.62200000 1.33600000 6.40000000 
11.34300000 0.11500000 6.40000000 
13.38300000 8.73200000 6.40000000 
12.68600000 7.49700000 6.40000000 
13.40800000 6.27600000 6.40000000 
12.71100000 5.04100000 6.40000000 
13.43300000 3.82000000 6.40000000 
12.73600000 2.58500000 6.40000000 
13.45800000 1.36400000 6.40000000 
12.76100000 0.12900000 6.40000000 
14.80100000 8.74600000 6.40000000 
15.52200000 7.52600000 6.40000000 
14.82600000 6.29000000 6.40000000 
15.54700000 5.07000000 6.40000000 
14.85100000 3.83500000 6.40000000 
15.57200000 2.61400000 6.40000000 
14.87600000 1.37900000 6.40000000 
15.59700000 0.15800000 6.40000000 
17.63700000 8.77500000 6.40000000 
16.94000000 7.54000000 6.40000000 
17.66200000 6.31900000 6.40000000 
16.96500000 5.08400000 6.40000000 
17.68600000 3.86300000 6.40000000 
16.99000000 2.62800000 6.40000000 
17.71100000 1.40700000 6.40000000 
17.01500000 0.17200000 6.40000000 
19.22900000 8.40200000 3.00000000 
19.92500000 7.16700000 3.00000000 
19.20400000 5.94600000 3.00000000 
19.90000000 4.71100000 3.00000000 
19.17900000 3.49000000 3.00000000 
19.87500000 2.25500000 3.00000000 
19.15400000 1.03400000 3.00000000 
22.06500000 8.37300000 3.00000000 
21.34300000 7.15200000 3.00000000 
22.04000000 5.91700000 3.00000000 
21.31800000 4.69600000 3.00000000 
22.01500000 3.46100000 3.00000000 
21.29300000 2.24000000 3.00000000 
21.99000000 1.00500000 3.00000000 
23.48200000 8.35900000 3.00000000 
24.17900000 7.12300000 3.00000000 
23.45800000 5.90300000 3.00000000 
24.15400000 4.66800000 3.00000000 
23.43300000 3.44700000 3.00000000 
24.12900000 2.21200000 3.00000000 
23.40800000 0.99100000 3.00000000 
26.31800000 8.33000000 3.00000000 
25.59700000 7.10900000 3.00000000 
26.29300000 5.87400000 3.00000000 
25.57200000 4.65300000 3.00000000 
26.26800000 3.41800000 3.00000000 
25.54700000 2.19700000 3.00000000 
26.24400000 0.96200000 3.00000000 
27.73600000 8.31600000 3.00000000 
27.71100000 5.86000000 3.00000000 
27.68600000 3.40400000 3.00000000 
27.66100000 0.94800000 3.00000000 
19.05500000 8.78900000 6.40000000 
19.77600000 7.56900000 6.40000000 
19.07900000 6.33400000 6.40000000 
19.80100000 5.11300000 6.40000000 
19.10400000 3.87800000 6.40000000 
19.82600000 2.65700000 6.40000000 
19.12900000 1.42200000 6.40000000 
19.85100000 0.20100000 6.40000000 
21.89000000 8.81800000 6.40000000 
21.19400000 7.58300000 6.40000000 
21.91500000 6.36200000 6.40000000 
21.21900000 5.12700000 6.40000000 
21.94000000 3.90600000 6.40000000 
21.24400000 2.67100000 6.40000000 
21.96500000 1.45100000 6.40000000 
21.26800000 0.21500000 6.40000000 
23.30800000 8.83300000 6.40000000 
24.03000000 7.61200000 6.40000000 
23.33300000 6.37700000 6.40000000 
24.05500000 5.15600000 6.40000000 
23.35800000 3.92100000 6.40000000 
24.07900000 2.70000000 6.40000000 
23.38300000 1.46500000 6.40000000 
24.10400000 0.24400000 6.40000000 
26.14400000 8.86100000 6.40000000 
25.44800000 7.62600000 6.40000000 
26.16900000 6.40500000 6.40000000 
25.47200000 5.17000000 6.40000000 
26.19400000 3.95000000 6.40000000 
25.49700000 2.71400000 6.40000000 
26.21900000 1.49400000 6.40000000 
25.52200000 0.25900000 6.40000000 
27.56200000 8.87600000 6.40000000 
27.58700000 6.42000000 6.40000000 
27.61200000 3.96400000 6.40000000 
27.63700000 1.50800000 6.40000000 
28.45700000 9.53600000 3.00000000 
28.43300000 7.08000000 3.00000000 
28.40800000 4.62500000 3.00000000 
28.38300000 2.16900000 3.00000000 
29.87500000 9.52200000 3.00000000 
30.57200000 8.28700000 3.00000000 
29.85100000 7.06600000 3.00000000 
30.54700000 5.83100000 3.00000000 
29.82600000 4.61000000 3.00000000 
30.52200000 3.37500000 3.00000000 
29.80100000 2.15400000 3.00000000 
30.49700000 0.91900000 3.00000000 
32.71100000 9.49300000 3.00000000 
31.99000000 8.27200000 3.00000000 
32.68600000 7.03700000 3.00000000 
31.96500000 5.81700000 3.00000000 
32.66100000 4.58100000 3.00000000 
31.94000000 3.36100000 3.00000000 
32.63700000 2.12600000 3.00000000 
31.91500000 0.90500000 3.00000000 
34.12900000 9.47900000 3.00000000 
34.82600000 8.24400000 3.00000000 
34.10400000 7.02300000 3.00000000 
34.80100000 5.78800000 3.00000000 
34.07900000 4.56700000 3.00000000 
34.77600000 3.33200000 3.00000000 
34.05400000 2.11100000 3.00000000 
34.75100000 0.87600000 3.00000000 
36.96500000 9.45000000 3.00000000 
36.24400000 8.22900000 3.00000000 
36.94000000 6.99400000 3.00000000 
36.21900000 5.77300000 3.00000000 
36.91500000 4.53800000 3.00000000 
36.19400000 3.31800000 3.00000000 
36.89000000 2.08200000 3.00000000 
36.16900000 0.86200000 3.00000000 
28.28300000 7.65500000 6.40000000 
28.30800000 5.19900000 6.40000000 
28.33300000 2.74300000 6.40000000 
28.35800000 0.28700000 6.40000000 
30.39800000 8.90400000 6.40000000 
29.70100000 7.66900000 6.40000000 
30.42300000 6.44800000 6.40000000 
29.72600000 5.21300000 6.40000000 
30.44800000 3.99300000 6.40000000 
29.75100000 2.75700000 6.40000000 
