written by TR 
1.000000000 
168.034201000 0.000000000 0.000000000 
84.017100500 145.521886771 0.000000000 
0.000000000 0.000000000 18.400000000 
Type1 
18724
Cartesian 
0.71794100 1.22279000 7.50000000 
2.87177000 4.89114000 7.50000000 
2.15382000 3.66836000 7.50000000 
2.85382000 2.43521000 7.50000000 
2.13588000 1.21242000 7.50000000 
5.02559000 8.55950000 7.50000000 
4.30765000 7.33672000 7.50000000 
5.00764000 6.10357000 7.50000000 
4.28970000 4.88078000 7.50000000 
4.98969000 3.64763000 7.50000000 
4.27175000 2.42485000 7.50000000 
4.97174000 1.19170000 7.50000000 
6.44352000 8.54914000 7.50000000 
7.14352000 7.31599000 7.50000000 
6.42558000 6.09320000 7.50000000 
7.12557000 4.86006000 7.50000000 
6.40763000 3.63727000 7.50000000 
7.10762000 2.40412000 7.50000000 
6.38968000 1.18134000 7.50000000 
9.27939000 8.52841000 7.50000000 
8.56145000 7.30563000 7.50000000 
9.26144000 6.07248000 7.50000000 
8.54350000 4.84969000 7.50000000 
9.24350000 3.61654000 7.50000000 
8.52555000 2.39376000 7.50000000 
9.22555000 1.16061000 7.50000000 
10.69730000 8.51805000 7.50000000 
11.39730000 7.28490000 7.50000000 
10.67940000 6.06212000 7.50000000 
11.37940000 4.82897000 7.50000000 
10.66140000 3.60618000 7.50000000 
11.36140000 2.37303000 7.50000000 
10.64350000 1.15025000 7.50000000 
13.53320000 8.49733000 7.50000000 
12.81530000 7.27454000 7.50000000 
13.51520000 6.04139000 7.50000000 
12.79730000 4.81861000 7.50000000 
13.49730000 3.58546000 7.50000000 
12.77940000 2.36267000 7.50000000 
13.47940000 1.12952000 7.50000000 
14.95110000 8.48696000 7.50000000 
15.65110000 7.25381000 7.50000000 
14.93320000 6.03103000 7.50000000 
15.63320000 4.79788000 7.50000000 
14.91520000 3.57509000 7.50000000 
15.61520000 2.34195000 7.50000000 
14.89730000 1.11916000 7.50000000 
17.78700000 8.46624000 7.50000000 
17.06910000 7.24345000 7.50000000 
17.76910000 6.01030000 7.50000000 
17.05110000 4.78752000 7.50000000 
17.75110000 3.55437000 7.50000000 
17.03320000 2.33158000 7.50000000 
17.73320000 1.09843000 7.50000000 
19.20490000 8.45588000 7.50000000 
19.90490000 7.22273000 7.50000000 
19.18700000 5.99994000 7.50000000 
