written by TR 
1.000000000 
151.019037000 0.000000000 0.000000000 
75.509518500 130.786322497 0.000000000 
0.000000000 0.000000000 18.400000000 
Type1 
15124
Cartesian 
0.73342200 1.21328000 7.39522000 
0.00000000 0.00000000 7.39476000 
2.93246000 4.85383000 7.40183000 
2.19990000 3.64006000 7.39882000 
2.88400000 2.39827000 7.39794000 
2.15085000 1.18483000 7.39614000 
5.12759000 8.49676000 7.41439000 
4.39701000 7.28183000 7.40973000 
5.08157000 6.04018000 7.40787000 
4.34986000 4.82588000 7.40390000 
5.03401000 3.58409000 7.40309000 
4.30141000 2.37028000 7.40012000 
4.98548000 1.12850000 7.40056000 
6.54493000 8.46968000 7.41713000 
7.22958000 7.22801000 7.41553000 
6.49893000 6.01303000 7.41086000 
7.18318000 4.77125000 7.41016000 
6.45139000 3.55690000 7.40629000 
7.13553000 2.31515000 7.40669000 
6.40290000 1.10129000 7.40389000 
9.37630000 8.41772000 7.42424000 
8.64688000 7.20194000 7.41914000 
9.33128000 5.96020000 7.41853000 
8.60052000 4.74516000 7.41404000 
9.28478000 3.50345000 7.41440000 
8.55292000 2.28905000 7.41080000 
9.23737000 1.04753000 7.41226000 
10.79360000 8.39294000 7.42815000 
11.47820000 7.15126000 7.42762000 
10.74860000 5.93543000 7.42275000 
11.43300000 4.69379000 7.42303000 
10.70210000 3.47871000 7.41891000 
11.38670000 2.23726000 7.42019000 
10.65480000 1.02279000 7.41701000 
13.62370000 8.34467000 7.43690000 
12.89540000 7.12798000 7.43184000 
13.58010000 5.88644000 7.43201000 
12.85030000 4.67058000 7.42759000 
13.53510000 3.42923000 7.42865000 
12.80410000 2.21410000 7.42507000 
13.48920000 0.97306400 7.42713000 
15.04090000 8.32298000 7.44084000 
15.72590000 7.08158000 7.44085000 
14.99730000 5.86488000 7.43630000 
15.68240000 4.62366000 7.43711000 
14.95240000 3.40777000 7.43334000 
15.63780000 2.16685000 7.43509000 
14.90660000 0.95164700 7.43218000 
17.87030000 8.27931000 7.44920000 
17.14310000 7.06172000 7.44464000 
17.82850000 5.82067000 7.44517000 
17.09960000 4.60396000 7.44133000 
17.78530000 3.36319000 7.44276000 
17.05510000 2.14725000 7.43977000 
17.74130000 0.90687700 7.44211000 
19.28750000 8.26114000 7.45233000 
19.97330000 7.02031000 7.45254000 
19.24570000 5.80274000 7.44873000 
19.93160000 4.56216000 7.44980000 
19.20260000 3.34544000 7.44683000 
19.88900000 2.10521000 7.44883000 
19.15860000 0.88921300 7.44668000 
22.11680000 8.22254000 7.45905000 
21.39040000 7.00412000 7.45532000 
22.07680000 5.76375000 7.45602000 
21.34890000 4.54621000 7.45312000 
22.03560000 3.30617000 7.45476000 
21.30630000 2.08942000 7.45272000 
21.99350000 0.84979900 7.45522000 
23.53390000 8.20801000 7.46097000 
24.22080000 6.96790000 7.46129000 
23.49400000 5.74954000 7.45848000 
24.18110000 4.50971000 7.45975000 
23.45280000 3.29219000 7.45783000 
24.14040000 2.05274000 7.46003000 
23.41090000 0.83594600 7.45891000 
26.36360000 8.17448000 7.46551000 
25.63790000 6.95532000 7.46282000 
26.32550000 5.71574000 7.46368000 
25.59830000 4.49743000 7.46192000 
26.28620000 3.25818000 7.46377000 
25.55770000 2.04065000 7.46288000 
26.24610000 0.80181900 7.46556000 
27.78070000 8.16340000 7.46607000 
27.74260000 5.70503000 7.46490000 
27.70340000 3.24774000 7.46572000 
27.66350000 0.79152300 7.46824000 
28.46870000 6.92409000 7.46649000 
28.43090000 4.46599000 7.46637000 
28.39210000 2.00907000 7.46814000 
30.61090000 8.13459000 7.46808000 
29.88580000 6.91480000 7.46668000 
30.57460000 5.67602000 7.46773000 
29.84810000 4.45705000 7.46733000 
30.53710000 3.21858000 7.46947000 
29.80940000 2.00034000 7.46992000 
30.49900000 0.76226500 7.47293000 
32.02800000 8.12658000 7.46720000 
32.71720000 6.88807000 7.46779000 
31.99170000 5.66841000 7.46764000 
32.68120000 4.43016000 7.46946000 
31.95440000 3.21125000 7.47028000 
32.64420000 1.97333000 7.47316000 
31.91630000 0.75509400 7.47467000 
34.85890000 8.10195000 7.46654000 
34.13430000 6.88164000 7.46662000 
34.82420000 5.64362000 7.46806000 
34.09830000 4.42407000 7.46923000 
34.78850000 3.18634000 7.47194000 
34.06150000 1.96747000 7.47396000 
34.75210000 0.73009200 7.47765000 
36.27600000 8.09656000 7.46432000 
36.96640000 6.85879000 7.46533000 
36.24140000 5.63863000 7.46679000 
36.93190000 4.40110000 7.46928000 
36.20570000 3.18163000 7.47177000 
36.89660000 1.94439000 7.47550000 
36.16940000 0.72553900 7.47863000 
39.10760000 8.07547000 7.46155000 
38.38350000 6.85474000 7.46312000 
39.07440000 5.61742000 7.46533000 
38.34910000 4.39738000 7.46816000 
39.04030000 3.16031000 7.47186000 
38.31390000 1.94089000 7.47558000 
39.00550000 0.70412800 7.48040000 
40.52470000 8.07224000 7.45857000 
41.21610000 6.83514000 7.46045000 
40.49160000 5.61457000 7.46339000 
41.18310000 4.37767000 7.46699000 
40.45750000 3.15773000 7.47111000 
41.14930000 1.92108000 7.47608000 
40.42270000 0.70170000 7.48090000 
43.35700000 8.05409000 7.45520000 
42.63320000 6.83302000 7.45794000 
43.32520000 5.59631000 7.46135000 
42.60030000 4.37587000 7.46557000 
43.29240000 3.13937000 7.47059000 
42.56650000 1.91949000 7.47585000 
43.25900000 0.68324900 7.48201000 
44.77410000 8.05259000 7.45243000 
45.46650000 6.81608000 7.45560000 
44.74230000 5.59518000 7.45954000 
45.43470000 4.35883000 7.46449000 
44.70960000 3.13849000 7.46981000 
45.40220000 1.90235000 7.47612000 
44.67620000 0.68251700 7.48231000 
46.88360000 6.81551000 7.45371000 
46.85190000 4.35856000 7.46345000 
46.81940000 1.90228000 7.47597000 
47.60710000 8.03684000 7.45042000 
47.57640000 5.57933000 7.45849000 
47.54480000 3.12255000 7.46975000 
47.51260000 0.66648800 7.48322000 
49.02420000 8.03673000 7.44878000 
49.71740000 6.80073000 7.45331000 
48.99350000 5.57957000 7.45752000 
